Día	Punchaw
Ofrenda	Haywakuy
Ofrendar	Haywakuy
Voy a llevar una ofrenda a Paltarumi.	Haywakuytam Paltarumiman apasaq.
Meter	Hinay
Echar dentro de algo.	Hinay.
¡Mete el pie en el zapato!	¡Sapatuman chakiykita hinay!
Pecado	Hucha
Mis pecados son muchos.	Achkam huchaykunapa.
Pecar	Huchakuy
Pecamos cuando mentimos.	Llullakuspaqa huchakunchikmi.
Uno	Huk
Una	Huk
Único	Huk
Única	Huk
Voy a criar un gato.	Huk misita uywasaq.
Humita.	Huminta.
Mañana comeremos humitas.	Humintata paqarin mikukusun.
Sudor	Humpi
Llegó con el sudor en la cara.	Humpi uya chayarqamun.
Llenar	Huntay
¿Quién va a llenar el costal con papas?	¿Pitaq kustalman papata huntanqa?
Grupo	Huñu
Nuestro grupo barrerá la cochinilla.	Ñugaykupa huñuykum kuchinillata pichanga.
Congregarse	Huñunakuy
Reunirse	Huñunakuy
Pasado mañana nos reuniremos los comuneros.	Mincham llapa kumun huñunakusaqku.
Grupo de cosas.	Huñusqa.
Levanta las ocas que están amontonadas.	Huñusqa uqata huqarimuy.
Reunir	Huñuy
Juntar	Huñuy
Reunamos las vacas.	Wakanchikta huñumusun.
Reclamar con fuerza.	Huqarikuy.
Levantamiento	Huqarikuy
Reclaman para que sus derechos sean respetados.	Alliqninku qawasqa kananpaq huqarikunku.
Si no nos envía un maestro habrá levantamiento.	Mana yachachiqta quwaptinchikqa huqarikuymi kanqa.
Paja brava.	Ichu.
Nube que descansa entre las pajas.	Ichu ichupi samariq puyu.
Izquierdo	Ichuq
Él es zurdo.	Payqa ichuqmi.
Cortar papa en tajadas.	Ikay.
Anda picando la papa para cocinar.	Papata ikachkay yanukunanchikpaq.
Brotar	Iklliy
El molle nuevamente había brotado.	Mulli yapamanta ikllirqamusqa.
Ser mágico encantado.	Illa.
En las noches brama el toro mágico.	Tutanmi illa turu waqamun.
Maní	Inchik
Tuesta el maní para preparar ají molido.	Inchikta uchu kutapaq hamkarquy.
Inca	Inka
El Inca Pachacútec expandió el territorio del Tahuantinsuyo.	Inka Pacha Kutiqqa Tawantin Suyuta wiñachirqa.
Creer	Iñiy
También creo en el cerro.	Tayta Urqupipas iñinim.
Sol.	Inti.
¡Cómo estaríamos si no hubiera sol!	¡Mana inti kaptin, imaynaraq kachwan!
Reloj.	Inti watana.
Medidor del tiempo.	Inti watana.
Los incas controlaban el tiempo en el inti huatana.	Inkakunaqa inti watanapim bachata qawasqaku.
Ganar	Ipay
Vencer	Ipay
El profesor nos gana escribiendo a todos.	Qillqaypiqa yachachiq lliwta ipawanku.
El profesor nos gana escribiendo a todas.	Qillqaypiqa yachachiq lliwta ipawanku.
Garúa	Ipu
La garúa también moja.	Ipu parachapas nuyukuntaqmi.
Trillar	Iray
Hoy vamos a trillar el panamito.	Panamitutam kanan irasun.
Niño	Irqi
Muchacho	Irqi
Los niños van a la escuela.	Irqikuna yachay wasiman rinku.
Paja brava.	Iru.
Las vacas están comiendo paja brava.	Wakaqa waylla ichuta mikuchkan.
Canasta	Isanka
Cojamos tunas en la canasta.	Isankapi tunasta pallasun.
Paja	Ischu
Nube que descansa entre los ichus.	Ischu ischupi samariq puyu.
Cal	Isku
Yeso	Isku
Vamos a tarrajear con yeso nuestra escuela.	Yachay wasinchikta iskuwan llusirqusun.
Desgranar	Iskuy
¡Ayúdame a desgranar maíz morocho!	¡Muruchu sarata iskurqaysimuway!
Pudrir	Ismuy
Descomponerse	Ismuy
La carne se había podrido con el sol.	Rupaywan aycha ismurqusqa.
Aparato urinario.	Ispana.
Urinario	Ispana
Letrina.	Ispana.
Me duele el aparato urinario.	Ispanay nanawachkan.
La gente va al urinario.	Ispanamam runa richkan.
Orina.	Ispay.
Miccionar	Ispay
Orinar.	Ispay.
El excremento del animal es bueno para abono.	Uywapa ispaynin wanupaq allinmi.
Voy a orinar afuera.	Ispakarqamusaq hawapi.
Estera	Istira
Arreglan la cama sobre la estera tendida.	Mastasqa istirapi puñunata allichanku.
Punzar	Istiy
Hincar.	Istiy.
Punzaré la pus de mi mano.	Makiypi qiyata istirqusaq.
Ortiga	Itaña
Cuando la mano se entumece hay que frotarla con ortiga.	Maki wañuptinqa itañawanmi qaquna.
Mandar	Kachay
Enviar	Kachay
Manda al niño al mercado.	Warmata qatuman rinanpaq kachay.
Despedida especial en las fiestas.	Kacharpariy.
En la casa de Tomás hay una despedida.	Tumaspa wasinpim kacharpariy kachkan.
Sal	Kachi
La vaca está lamiendo la sal.	Kachita waka Ilaqwachkan.
Libélula	Kachi kachi
¡Libelulita alas de oro!, ¿quién llegará?	¡Kachi kachichay quri raprachay!, pich chayamunqa?
Morder	Kachuy
Masticar	Kachuy
Quijada	Kakichu
La quijada del burro se había roto.	Asnupa kakichun pakirqukusqa.
Eructar	Kakyay
Al saciarse eructó.	Saksarquspam kakyakuykun.
Calabaza	Kalawasa
Van a preparar sopa de calabaza tierna.	Llullu kalawasata chupinkichik.
Tostadera	Kallana
Compré una tostadera.	Kallanata rantirqamuni.
Callapa	Kallapa
Rueca	Kallapa
Envuelven la lana en la rueca.	Kallapapim millwata wankinku.
Cosechar alverjas.	Kallchay.
Cosechar quinua.	Kallchay.
Cosechar cañigua.	Kallchay.
Cosechar kiwicha.	Kallchay.
Ellos están en la cosecha de arvejas.	Paykunaqa alwirhas kallchaypim kachkanku.
Rama	Kallma
Las ramas del molle no pesan.	Mullipa kallmanqa manam llasanchu.
Fuerza	Kallpa
Una mujer forzuda llegó.	Kallpasapa warmi chayamurqa.
Esforzar	Kallpachay
Fortalecer	Kallpachay
Él fortalece a las personas.	Pay runakunata kallpachan.
Autoridad	Kamachiq
Esa autoridad había sido muy corrupta.	Chay kamachiq suwa suwa kasqa.
Ordenar	Kamachiy
Normas	Kamachiy
La autoridad del pueblo está gobernando bien.	Llaqta kamachiq allinta kamachichkan.
Si actuamos conforme a las normas del pueblo conviviremos bien.	Llaqtapa kamachinanta uyarispaqa allintam kawsasun.
Insultar	Kamiy
Él insulta demasiado a su compañero.	Payqa nisyutam runa masinta kamin.
Ella insulta demasiado a su compañero.	Payqa nisyutam runa masinta kamin.
Quemar	Kañay
No hay que quemar los árboles.	Manam sachata kañanachu.
Corral	Kancha
Cerco	Kancha
Canchón	Kancha
Hagamos el corral de las ovejas.	Chitapa kanchanta rurasun.
Morder	Kaniy
El perro mordió al ladrón.	Allquqa suwata kanirqun.
Asado	Kanka
El asado de chancho es riquísimo.	Kuchi kankaqa miskillañam.
Beriberi	Kaqu
Estoy con la enfermedad del beriberi.	Kaqu unquywanmi kachkani.
Bosta	Karka
Con la bosta se conserva la brasa.	Karkawan ninata qullinku.
Lejos	Karu
La ciudad de Lima queda lejos.	Karum Lima llaqtaqa.
Casarse	Kasarakuy
Mi hermano mayor se casará pasado mañana.	Kuraq wawqiymi mincha kasarakunqa.
Palo	Kaspi
No golpees a la vaca con el palo.	Ama kaspiwan wakata maqaychu.
Obedecer	Kasukuy
Hay que obedecer a nuestros padres.	Tayta mamanchiktaqa kasukunam.
Temblar	Katatatay
Está temblando por el paludismo.	Chukchuwanmi katatatachkan
Madeja.	Kawa.
¡Véndeme una madeja!	¡Huk kawata rantikuway!
Caballo	Kawallu
Cabalgo mi caballo sin montura.	Qalallapim kawalluyman sillani.
Catre	Kawitu
El catre está para arreglarlo.	Kawituqa allichanam.
Torcer lana.	Kawpuy.
Mi mamá está torciendo lana negra gruesa.	Mamayqa yana qaytutam kawpuchkan.
Resucitar	Kawsariy
Dicen que un difunto ha resucitado.	Huk ayas kawsarirqun.
Vivir	Kawsay
Alimento	Kawsay
La gente vive entristecida en esta vida.	Kay pachapi llakisqahinam runa kawsan.
No desperdicies los alimentos, ellos lloran.	Kawsayta ama usuchiychu, paykunaqa waqanmi.
Escarbador	Kawsu
Escarba el olluco con el escarbador.	Kawsuchawan ullukuta allarquy.
Este	Kay
Ser	Kay
Estar	Kay
Este chancho negro.	Kay yana kuchi.
Estar bien.	Allin kay.
Caya	Kaya
Le había servido caya sancochada.	Kaya yanuytam qaraykusqa.
Cerca	Kaylla
Mi escuela está cerca.	Kayllapim yachay wasiyqa.
Rana	Kayra
El caldo de rana es bueno para alimentarse.	Kayra chupiqa allinmi qaliyanapaq.
Abrir	Kichay
Solo abre mi camino; iré a donde sea.	Ñanllayta kichay; maykamapas risaqmi.
Espina	Kichka
Con espinas de tuna haremos nuestro insectario.	Tunaspa kichkanwan uruchakunata tipasun.
Estrecho	Kichki
Nos encontramos en un camino estrecho.	Kichki ñanpi tuparqunchik.
Hígado	Kichpa
El hígado frito es muy bueno.	Kichpa tiqtiqa ancha sumaqmi.
Identificar	Kikinchay
Las autoridades están identificando a las personas.	Kamachikuqkunam runakunata kikinchachkanku.
Menstruar	Kikuy
La muchacha está menstruando.	Sipasqa kikuchkan.
Luna.	Killa.
Mes.	Killa.
La luna está entrando al cuarto menguante.	Killa wañuchkanña.
Mi vecino retorna cada mes.	Sapa killam wasi masiy kutimun.
Carbón	Killimsa
Aquí escribiré con el carbón.	Kaypim killimsawan qillqasaq.
Preparar carbón.	Killimsay.
Estoy haciendo carbón de chachacoma.	Chachasmantam killimsata rurachkani.
Cernícalo	Killinchu
El perro asustó al cernícalo que crío.	Killinchu uywakusqaytam allqu manchachin.
Horizonte	Kinray
Través.	Kinray.
Tu vaca se perdió en el horizonte.	Wakaykiqa kinraytam chinkaykun.
Quinua	Kinwa
Cultivemos la quinua.	Kinwata tarpukusun.
Nudo	Kipu
Quipo	Kipu
Cifra	Kipu
Desatemos este nudo.	Paskasun kay kiputa.
Los Incas guardaron sus saberes en el Quipu.	Kipupim Inkakuna yachayninta taqiqku.
Amarrar	Kipuy
Amarra la leña para que no se caiga.	Yantata kipuy mana wichikunanpaq.
Herida	Kiri
Úlcera	Kiri
Llaga	Kiri
Me duele mi herida.	Kiriy nanawachkan.
Armadillo	Kirkinchu
La bolsa del armadillo es dura como el cuerno.	Kirkinchupa piskaqa rumiy rumi waprahina.
Tapadera	Kirpana
Lava esa tapadera.	Chay kirpanata maylliy.
Tapar	Kirpay
Tapen los huecos de la pared con barro.	Pirqapa uchkunkunata mituwan kirpay.
Diente	Kiru
Antes de dormir debemos lavar nuestros dientes.	Kirunchiktaqa puñunapaqmi aywina.
Panecillo	Kispiñu
Mi abuela me ha invitado panecillos.	Awilaymi kispiñuta llukiykamuwan.
Queso	Kisu
¿Has comido queso frito?	¿Kisu tiqtita mikurqankichu?
Quishuar	Kiswar
Hagamos leña de quishuar.	Kiswartaña yantarqusun.
Limpiar	Kituy
Pulir	Kituy
Quitar los retoños.	Kituy.
Limpia la papa sucia.	Karka papata kituy.
Quiten las raíces de la papa para sembrarlas.	Tarpunapaq papapa sapichankunata kituy.
Quihuicha	Kiwicha
Comamos quihuicha para tener buena memoria.	Allin yuyaysapa kanapaq kiwichata mikusun.
Cerdo	Kuchi
Chancho	Kuchi
Degollemos al chancho.	Kuchita nakakusun.
Rodar	Kuchpay
Tumbar	Kuchpay
La piedra está rodando.	Rumi kuchpakamuchkan.
Tumba al animal.	Uywata kuchpaykuy
Codo	Kuchus
Ángulo	Kuchus
Se había desollado el codo.	Kuchusninta llaqllarqukusqa.
Lleva el ángulo para que guarde.	Allichananpaq kuchusta apan.
Cortar	Kuchuy
Corta la carne para asarla en la brasa.	Sansapi kankanapaq aychata kuchuykuy.
Torcaza	Kukuli
Las torcazas se cuidan muy bien.	Kukulikunaqa sumaqtam kuyanakunku.
Red	Kullancha
Llevaremos esa red para pescar.	Chay kullanchata challwanapaq apasun.
Morado	Kulli
Preparemos chicha de maíz morado.	Kulli saramanta aqakurqusun.
Tórtola	Kullku
Tronco	Kullu
Hagamos leña de ese tronco.	Wak kulluta yantarqusun.
Agacharse	Kumuy
Humillarse	Kumuy
Subestimarse	Kumuy
Al avergonzarse camina con la cabeza agachada.	Pinqakuspanqa uman kumusqam purin.
¡Ni el profesor te debe humillar!	¡Amawtapas manam kumuchisunkimanchu!
Hoy	Kunan
Ahora	Kunan
Ahora te voy a enseñar a leer un texto.	Kunanmi qillqa hawinchayta yachachisqayki.
Cuello	Kunka
Pescuezo	Kunka
Engordemos a la llama de cuello largo.	Kunkasapa llamata puquchisun.
Cóndor	Kuntur
El cóndor está dando vueltas buscando animales muertos.	Kuntur muyuchkan wañusqa uywata.
Mayor	Kuraq
¡Llama a mi hijo mayor!	Kuraq churiyta qayarqamuy!
Joroba	Kurku
Jorobado	Kurku
Ese señor es jorobado de nacimiento.	Wak runaqa yurisqanmantapunim kurku.
Trompeta	Kurnita
Los niños tocan la trompeta.	Kurnitata warmakuna waqachin.
Terrón	Kurpa
Hacer quesillo en forma de terrones.	Kurpay.
Mi madre hace quesillo.	Mamaymi kisilluta kurpan.
Uru	Kuru
Gusano	Kuru
Hay que eliminar los gusanos de la papa.	Papa kurutaqa wañuchinam.
Ovillo	Kurur
Cuatro ovillos alcanzan para tejer tu poncho.	Tawa kururmi punchuykipaq kanman.
Ovillar	Kururay
Ovillen el hilo rojo.	Puka qaytuta kururaychik.
Alegrarse	Kusikuy
Me alegro mucho por tu bienestar.	Allin kasqaykiwan anchata kusikuni.
Alegría	Kusiy
Tiempos de alegría.	Kusiy pacha.
Molido	Kuta
Vamos a vender maíz molido.	Sara kutata rantikusun,
Moler	Kutay
Vamos a moler el choclo para hacer humitas.	Chuqlluta kutasun humintapaq.
Crespo	Kuti
Repetitivo	Kuti
He visto un niñito crespo.	Kuti chukcha warmachatam rikur qamuni.
Devolverse un favor mutuamente.	Kutichinakuy.
Se devuelven el favor que se hicieron en el trabajo.	Llanikayninkuta kutichinakunku.
Rebelarse	Kutipakuy
Defenderse	Kutipakuy
Los hijos no deben rebelarse contra sus padres.	Manam warmakunaqa tayta mamanta kutipakunanchu.
Si el perro es muy maltratado tiende a defenderse.	Llumpay maqasqa allquqa kutipakunmi.
Volver	Kutiy
¡Regresa de donde estés!	¡Maypiña kaspapas kutimuy!
Roer	Kutkuy
El ratón está royendo el maíz.	Ukucham sarata kutkuchkan.
Cuy macho.	Kututu.
Pasado mañana separaremos a los cuyes machos para que no peleen.	Mincham kututukunata mana maqanakunanpaq rakisun.
Desafilado	Laqu
Alga	Laqu
Afila ese cuchillo motoso.	Laqu kuchilluta ñawchichay.
Los animales acostumbran comer alga.	Laqutaqa uywakuna mikunmi.
Nevada	Lasta
Cuando nieva los animales caminan hambrientos.	Lastarqamuptinqa uywakunaqa qaymantam purinku.
Sopa	Lawa
He comido sopita de maíz.	Sara lawachata mikumuni.
Baba	Lawsa
¡Límpiate la baba!	¡Lawsaykita pichakuy!
Ave centinela.	Liqliqa.
El ave centinela come lombrices.	Liqliqam lliwqata mikun.
Espejo	Lirpu
En un espejo grande se ve todo mi cuerpo.	Hatun lirpupim lliw wirpuy rikukun.
Bizco	Lirqu
Haz curar al niño bizco.	Lirqu wawata hampichimuy.
Boleadora	Liwi
Laxo	Liwi
Flácido	Liwi
Le ha golpeado con una boleadora en la cabeza.	Umanpim liwiwan waqtarqun.
Camina con un pantalón holgado.	Liwi siki warayuqmi purichkan.
Libro	Liwru
Texto	Liwru
Lean el texto Yachaq masiy.	Yachaq masiy qillqa maytuta ñawichaychik.
Lúcuma	Lukma
Hermosas lúcumas crecen en la ciudad de Huanta.	Wantapiqa sumaqllañam luqma wiñam.
Escroto	Luqsu
Testículo	Luqsu
El escroto del toro es buen alimento.	Turupa luqsunqa allin mikuymi.
Tristeza	Llaki
Me dio tristeza.	Llakim hapiruwan.
Cobarde	Llaklla
Tímido	Llaklla
Los hombres cobardes no quieren salir ni a la puerta de su casa.	Llaklla runakunaqa manam wasi punkutapas lluqsiyta munanchu.
Llama	Llama
Ya está llegando la temporada de la esquila de llamas.	Llama rutuy chayaramuchkanña.
Trabajar	Llamkay
Trabajemos en la limpieza de la acequia.	Yarqa aspiypi llamkamusun.
Suave	Llampu
Piedra caliza.	Llampu.
Sopla la piedra caliza a Palta Rumi.	Palta Rumiman llamputa pukuykuy.
El rostro del niño es suave.	Wawapa uyanqa llampullam.
Ojota	Llanki
En el presente año mi padre terminó dos ojotas.	Kay wata iskaytañam llankita taytay tukurqun.
Sombra	Llantu
Protegerse de la sombra.	Llantu.
Protegerse de la lluvia.	Llantu.
Me asusté con su sombra.	Llantunwan mancharikuni.
Se protege de la lluvia en la cueva.	Paramanta machaypi llantukun.
Delgado	Llañu
El chancho arrancó la soga delgada.	Llañu waskatam kuchi tipirqun.
Tocar con la mano.	Llapchay.
Apenas lo toqué, gritó.	Llapchaykuptiymi qaparin.
Aplastar con los dedos.	Llapiy.
Le aplastó la nariz.	Sinqantam llapirqun.
Zarzaparrilla.	Llaqi llaqi.
¡Haz hervir la zarzaparrilla!	¡Llaqi llaquita timpurqachiy!
Labrar	Llaqllay
Labra un poquito el palo.	Qiruta tumpata llaqllaykuy.
Pueblo	Llaqta
En las ciudades ya no crece la sementera.	Hatun llaqtakunapiqa manañam kawsay wiñanñachu.
Lamer	Llaqway
Nuestras ovejas están lamiendo la sal.	Chitanchik kachita llaqwachkan.
Pesado	Llasaq
Había sido una piedra pesada.	Llasaq rumim kasqa.
Pesar	Llasay
La piedra grande pesa demasiado.	Hatun rumiqa llumpaytam llasan.
Lavador hecho de arcilla.	Llata.
Arreglemos el lavador de arcilla.	Llatata allichasun.
Guiso picante.	Llatan.
El cuy chactado con guiso picante es riquísimo.	Llatanniyuq quwi tiqtiqa miskisum.
Telaraña	Llika
La araña está tejiendo su telaraña para atrapar sus alimentos.	Qampupa llikanta awan mikuynin hapinanpaq.
Romper	Llikiy
Rasgar	Llikiy
No rompan sus hojas por las puras.	Ama qillqa rapiykichikta yanqapuni kiychikchu.
Manta	Lliklla
Podríamos tejer muchas mantas y venderlas.	Achka llikllakunata awaspa rantikuchwan.
Escaldadura	Llilli
La escaldadura del niño se cura con harina.	Wawapa llillintaqa akuwanmi hampina.
Color	Llimpi
La sangre es de color rojo.	Puka llimpim yawarqa.
Pintar	Llimpiy
Colorear	Llimpiy
Vamos a pintar con color verde esta figura.	Kay riqita qumirwan llimpisun.
Arcilla	Llinki
Moldeemos bolitas con arcilla roja.	Puka llinkiwan ruyruchakunata rurasun.
Brillo	Llipipiq
Brillante	Llipipiq
Hemos conocido una laguna reluciente.	Llipipiq quchatam riqsimuniku.
Úlcera en los labios.	Lliqti.
No sé con qué curaría la úlcera de mis labios.	Kay simiypi lliqtita ímawanraq hampiruyman.
Lombriz	Lliwqa
Vamos a sacar lombrices para pescar.	Challwanapaq lliwqata hurqumusun.
Resbaladizo	Lluchka
Liso	Lluchka
Me caí en la ladera resbaladiza.	Lluchka qatapi urmarquni.
Resbalar	Lluchkay
Caminando en el barro se resbaló el animal.	Mitupi purichkaspa uywa lluchkarqun.
Leche cuajada.	Llukllu.
Te voy a dar nata con miel.	Miskiyuq llukIluta qusqayki.
Donar	Llukiy
Regalar	Llukiy
Le regalan un juguete.	Pukllanachata llukiykun.
Red	Lluku
El río se llevó la red.	Llukuta mayu apakun.
Mentira	Llulla
Esa mujer mentirosa me hace enemistar.	Wak llulla warmi awqachiwan.
Tierno	Llullu
Verde	Llullu
Inmaduro	Llullu
Escarba la papa tierna.	Llullu papata allaykuy.
Nuera	Llumchuy
La esposa de mi hijo es una mujer de buen corazón.	Llumchuyniyqa allin sunquyuqmi.
Adular	Llunkuy
A él lo adula como si fuera Dios.	Paytam taytachatahinaña llunkupayan.
Escapar	Lluptiy
Huir	Lluptiy
Escapó nuestro chancho.	Kuchinchik lluptirqusqa.
Trepar	Lluqay
Subamos despacio al árbol.	Sumaqllata sachaman lluqasun.
Lloque	Lluqi
Del palo de lloque hace una horqueta.	Lluqi kaspimantam hurkitata ruran.
Torrentera	Lluqlla
Aluvión	Lluqlla
El aluvión había arrasado la sementera.	Lluqllam kawsaykunata aparqusqa.
Salir	Lluqsiy
Brotar el sembrío.	Lluqsiy.
Yo no salgo de mi casa.	Wasiymantaqa manam lluqsinichu.
El maíz ya está germinando.	Sara lluqsimuchkanña.
Embadurnar	Llusiy
Untar	Llusiy
Está untando su cara con grasa.	Uyantam wirachawan llusikuchkan.
Culebra	Machaqway
La culebra también silba de noche.	Tutapas machaqwayqa sukamunmi.
Caverna	Machay
Cueva	Machay
Emborracharse	Machay
He dormido en la cueva.	Machaypim puñurqani.
Las mujeres se habían emborrachado en la fiesta del sol.	Inti raymipim warmikuna macharqamusqaku.
Cubo	Machina
Construyendo cubos podríamos venderlos en otro sitio.	Machinakunata ruraspa huklawpi rantikuchwan.
Harina de cereal.	Machka.
Él prepara machca de cebada.	Payqa siwara machkatam kutan.
Abuelo	Machu
Un anciano no debe emborracharse.	Machu runaqa manañam machaypiqa purinanñachu.
Probar	Malliy
Saborear	Malliy
¡Prueba esta mazamorra!	¡Malliykuy kay apita!
Madre	Mama
Sin que quiera su madre se casó.	Maman michakuchkaptinmi kasarakun.
Anciana	Mamaku
A la anciana debemos ayudarla.	Mamakutaqa yanapanam.
Pedir	Mañay
Le pide pan a su mamá.	Tanta qunanpaq mamanta mañakun.
Suplicar	Mañakuy
El niño pide a su padre que le bese.	Warmaqa taytan muchaykunanpaq mañakun.
Espantapájaros	Manchachi
Hay que colocar espantapájaros en nuestro maizal.	Manchachinata saranchikpi churamusun.
Temer	Manchakuy
Temo andar por las noches.	Tuta puriytam manchakuni.
Asustarse	Manchay
La rata se asusta viendo al gato.	Ratam misita qawarquspa manchakun.
Olla	Manka
El patachi se cocina bien en olla de barro.	Allpa mankapim patachiqa sumaqta chayan.
Endeudarse	Manukuy
Fiarse	Manukuy
Me he fiado chicha de molle.	Mulli aqata manukuykuni.
Deuda	Manu
Vino a cobrar la deuda.	Manu mañaqmi hamusqa.
Golpear	Maqay
Pegar	Maqay
A nadie se le debe golpear sin causa alguna.	Pitapas manam yanqapuniqa maganachu.
Garrote	Maqana
Porra	Maqana
Le pegó con un garrote grueso.	Raku maqanawanmi waqtarqun.
Esparcir cereales.	Maqchiy.
Rociar agua.	Maqchiy.
Está esparciendo la cebada.	Siwarata maqchichkan.
¡Rocía el agua!	¡Yakuta maqchirqamuy!
Tacaño	Maqlla
El hombre tacaño no encontrará nada en este mundo.	Maqlla runaqa kay pachapiqa manam imata tarinqachu.
Recipiente grande.	Maqma.
Lograron terminar un recipiente grande para la chicha.	Huk maqma aqatam tukurqunku.
Joven varón.	Maqta.
Cuando joven fue muy trabajador.	Maqta kaspa llamkaysapa karqa.
Batán	Maray
Quisiera un batán en mi casa.	Marayta wasiypi munayman.
Cargar en brazos.	Marqay.
Te estoy abrazando como si fueras un tronco.	Kullutahinam qamta marqachkayki.
Yerno	Masa
Haré curar a mi yerno.	Masaytam hampichimusaq.
Tender	Mastay
Ya hay que tender la cama para dormir.	Mastakusunña puñunapaq.
Murciélago	Masu
Dicen que el murciélago proviene del ratón viejo.	Machuyasqa ukuchamantas masu rikurin.
Comemos mashua sancochada.	Maswa yanuyta mikuniku.
Frente	Mati
Mate	Mati
Vacija	Mati
Sirve la papa en el mate grande.	Anqara matipi papata qaramuy.
Le tiró con una piedra en la frente.	Runapa matinpi rumiwan chuqarqamun.
Libro	Maytu
Se ensució el libro.	Maytu qachachakurqun.
Río	Mayu
Cruzaremos el río turbio.	Putka mayuta chimpasunchik.
Pastear	Michiy
Hoy vamos a pastear nuestras vacas.	Kananmi wakanchikunata michimusun.
Comida	Mikuy
Comer	Mikuy
Sírveme la comida, por favor.	Amahina kaspayki mikuyta qaraykamuway.
Come el chuño.	Chuñuta mikun.
Asquearse	Millakuy
Al comer demasiado siente asco por la comida.	Llumpayta saksarquspaqa mikuyta millakurqunñam.
Horrible	Millay
Feo	Millay
Lo vi con la cara horrible.	Millay uyayuqtam rikurqani.
Tragadero	Millpu
El pantano se traga a la gallina.	Uqu Pampa allpata millpun.
Tragar	Millpuy
¡Estás tragando como la gallina!	¡Wallpahina millpuchkanki!
Lana	Millwa
Se tuercen las sogas de lana de llama.	Llamapa millwanmanta waskatam kawpunku.
Trama	Mini
Mi madre teje la trama de mi poncho.	Punchuypa mininta mamay awan.
Trabajo colectivo.	Minka.
Vamos a la minca del lavado de ropas.	Pacha taqsay minkaman hakuchik.
Reproducir	Mirachiy
Procrear	Mirachiy
Está haciendo reproducir maíz morado.	Kulli sarata mirachin.
La llama está reproduciéndose.	Llama mirachkan.
Procrear	Miray
Multiplicar	Miray
Desarrollar	Miray
Aumentar	Miray
Habían aumentado las liendres en tu cabeza.	Chiya umaykipi mirarqusqa.
Gato	Misi
El gato también juega con el perro.	Misiqa allquwanpas pukllanmi.
Dulce	Miski
Miel	Miski
Hay que tomar eucalipto con miel de abejas contra la tos.	Yukalitutam miskiyuqta upyana uhupaq.
Propagarse fuego.	Mismiy.
Se propaga la paja que quemé en la puna.	Urqupi ischu kañasqay mismichkan.
Época	Mita
Tiempo	Mita
Es época de lluvia.	Paray mitañam.
Pañal del bebé.	Mitay.
Alcánzame el pañal de la bebé.	Wawapa mitanta haywamuway.
Barro	Mitu
El camino está lleno de barro.	Ñanqa mitullañam kachkan.
Veneno	Miyu
Envenenaron a los perros callejeros.	Puriq allqukunaman miyuta mikurqachinku.
Besar	Muchay
Te besaré las manos.	Makiykita muchaykusqayki.
Acné	Muchi
Apareció acné en mi rostro.	Uyaypi muchikuna rikurirqusqa.
Nuca	Muchu
La nuca del toro de seis años es muy grande.	Suqta watayuq turupa muchunqa hatunsum.
Hambruna	Muchuy
En tiempos de hambruna los animales enflaquecen.	Muchuypim uywakunapas charkiyarqun.
Semilla	Muhu
Vamos a comprar semilla.	Muhuta rantimusun.
Asfixia	Muki
Ahogo	Muki
Había muerto por asfixia.	Mukiwanmi wañurqusqa.
Asfixiar	Mukiy
Al tupírsele la nariz se asfixia.	Sinqan kirpakurquptinqa mukin.
Querer	Munay
Me gusta demasiado la carne.	Anchatam aychata munani.
Montera	Muntira
Voy a lavar la montera de mi abuela.	Awilaypa muntirantam taqsasaq.
Luxación	Muqa
Al caerse del asno se dislocó el codo.	Asnumanta wichiykuspan kuchusninta muqakurqun.
Rodilla	Muqu
Loma	Muqu
Mi rodilla se adormece por el frío.	Muquymi chiripi utin.
La llama come en la loma.	Muqupi llama mikun.
Chuñu blanco.	Muraya.
El puchero de chuño blanco es riquísimo.	Murayayuq puchiruqa miskisum.
Oler	Muskiy
Olfatear	Muskiy
Oliendo las cosas podemos conocerlas.	Asnaqkunata muskispa imatapas riqsichwan.
Soñar	Musquy
En mis sueños tú y yo estábamos golpeándonos.	Qammi musquyniypi ñuqawan takanakuchkasqanki.
Mote	Muti
Comamos bastante mote para trabajar	Mutita allinta kachukusun llamkananchikpaq
Jardín	Muya
Vamos a deshierbar nuestro jardín.	Muyanchikta qurasunchik.
Círculo	Muyu
Tracemos círculos.	Muyukunata qillqasu
Remolino de viento.	Muyuq wayra.
Levantando la basura apareció el remolino.	Wanukunata qurastin muyuq wayra rikurirqamun.
Girar	Muyuy
Dar vueltas	Muyuy
Den vueltas a esta piedra.	Kay rumita muyuchiychik.
Doler	Nanay
Dolor	Nanay
Mi hijo está con dolor de piernas.	Chaki nanaywanmi churiy kachkan.
Saludar	Napakuy
Cada vez que nos levantemos de dormir debemos saludar a nuestros padres.	Sapa hatarispam tayta mamanchikta napaykunanchik.
Decir	Niy
El abuelo dijo: ven.	Hatun taytaqa hamuy ninmi.
Remojar	Nuyuchiy
Remoja la cabuya para hacer una soga.	Paqpata nuyuchin waska rurananpaq.
Camino	Ñan
Vía	Ñan
¡Solo abre mi camino, iré hasta donde quieras!	¡Ñanllayta kichay, maykamapas risaqmi!
Hermana de la mujer.	Ñaña.
Saywa es la hermana de Illariy.	Saywaqa Illariypa ñañanmi.
Peine	Ñaqcha
